"last_name, first_name","player_id","year","home_run","k_percent","slg_percent","xba","xslg","woba","xwoba","xobp","xiso","avg_swing_speed","fast_swing_rate","blasts_contact","blasts_swing","squared_up_contact","squared_up_swing","avg_swing_length","swords","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","z_swing_miss_percent","oz_swing_miss_percent","oz_contact_percent","iz_contact_percent","whiff_percent","swing_percent"
"Garcia, Maikel","672580","2024","7",16.5,".332",".260",".366",".270",".300",".310",".106",70.8,10.8,16.1,14,41,35.6,"7.2","12","90.4","6.4",34.1,3.7,42.8,"100.050927426","94.39492241",10.9,31.4,67.8,88.5,15.7,43.4
"Lopez, Otto","672640","2024","6",17.3,".377",".274",".394",".302",".313",".317",".120",70.7,14,14.2,11.2,37.9,30,"6.6","19","88","5.4",30.4,5.1,38.9,"99.482984485","93.902266182",12.4,43.3,56.7,87.1,21.9,51.4
"Perdomo, Geraldo","672695","2024","3",14.9,".374",".231",".314",".317",".281",".307",".083",66.9,2.2,7.6,6.6,38.4,33.6,"6.8","11","87","16.9",28.9,3.1,25.8,"96.084793623","92.044093913",7.8,27.5,71.1,89.6,12.2,40.5
"Pérez, Wenceel","672761","2024","9",21.6,".383",".241",".354",".299",".291",".300",".113",70.3,9,8.8,7,31.9,25.2,"6.9","4","88.4","18",37.7,4.3,30.6,"97.264471429","92.757975085",15.2,33.3,66.7,84.2,20.9,46.1
"Sosa, Lenyn","672820","2024","8",20.9,".359",".278",".419",".280",".316",".309",".141",71.7,17,12.5,10.1,33.3,26.9,"7.4","6","89","12.3",42.2,6.1,41.2,"99.355197445","93.909530839",13,32.4,67.6,86.8,19.8,52.7
"Diaz, Yainer","673237","2024","16",17.3,".441",".299",".458",".329",".339",".327",".159",72.6,23.7,17.1,13.2,34.4,26.5,"7.4","17","90.2","8.9",35,7.6,47.5,"101.297056214","95.034359505",13.6,40.2,59.8,86.4,24,58.8
"Robert Jr., Luis","673357","2024","14",33.2,".379",".210",".364",".285",".277",".267",".154",74.5,47.6,15.6,10.5,28.2,19,"7.7","12","90.1","13.5",35.6,9.9,40.7,"101.232868968","94.886076944",23.4,58.4,41.6,76.6,36.1,53.1
"Kim, Ha-Seong","673490","2024","11",16.4,".370",".245",".352",".308",".313",".344",".107",69,7.7,13.3,11.2,36.3,30.6,"6.8","7","87.9","15.1",36.6,4.8,35.4,"98.621780994","93.412597329",13.4,24.9,74.6,86.4,16.1,38
"Suzuki, Seiya","673548","2024","21",27.4,".482",".255",".453",".365",".346",".343",".198",73,35,18,13.8,33.4,25.7,"7.2","17","91.7","16.2",38.8,11.5,49.2,"102.565369326","95.834191408",16.6,46.1,53.9,83.4,24.5,39.6
"Westburg, Jordan","676059","2024","18",21.7,".481",".281",".491",".340",".353",".328",".210",71,10.8,16.6,11.9,37.5,27.1,"6.8","17","91.1","13.1",37.4,11.8,46.1,"101.801873375","95.272487",20.7,49.6,50.4,79.3,29.3,51
